ENTITY_ID,CALL_ID,VERSION_ID,DATE,CALL_NAME,COMPANY_NAME,CONSUMER_STRENGTH_EXTRACT_FILT_MD,CONSUMER_WEAKNESS_EXTRACT_FILT_MD,CONSUMER_REDUCED_SPENDING_PATTERNS_EXTRACT_FILT_MD,CONSUMER_STRENGTH_EXTRACT_FILT_QA,CONSUMER_WEAKNESS_EXTRACT_FILT_QA,CONSUMER_REDUCED_SPENDING_PATTERNS_EXTRACT_FILT_QA,INCREASED_CONSUMPTION_EXTRACT_FILT_MD,INCREASED_CONSUMPTION_EXTRACT_FILT_QA,REDUCED_CONSUMPTION_EXTRACT_FILT_MD,REDUCED_CONSUMPTION_EXTRACT_FILT_QA
000DP6-E,3063514,7441478,2024-08-02 00:00:00.000,Q2 2024 Earnings Call,Chevron Corp.,[],[],[],"[
  ""Certainly, in the economy broadly speaking, we've seen inflation pressures easing, and I think that's good for consumers.""
]",[],[],[],"[
  ""Certainly, in the economy broadly speaking, we've seen inflation pressures easing, and I think that's good for consumers.""
]",[],[]
000DP6-E,3105937,7591487,2024-11-01 00:00:00.000,Q3 2024 Earnings Call,Chevron Corp.,[],[],[],[],[],[],[],"[
  ""But the reality is for anybody that looks at them and thinks them through discouraging investment and constraining supply when you still have strong demand is going to lead to just one conclusion.""
]",[],[]
006XY7-E,3106340,7571118,2024-10-23 00:00:00.000,Q3 2024 Earnings Call,"Tesla, Inc.",[],[],"[
  ""I mean, that is one trend which we observed in the industry that because of the affordability being impacted because of interest rates, people are holding on to the cars longer, especially in the US.""
]",[],[],[],[],[],"[
  ""I mean, that is one trend which we observed in the industry that because of the affordability being impacted because of interest rates, people are holding on to the cars longer, especially in the US.""
]",[]
001MF1-E,3115456,7589463,2024-10-31 00:00:00.000,Q3 2024 Earnings Call,"Amazon.com, Inc.","[
  ""The early sales for these devices have significantly outperformed our expectations, and Kindle is having an excellent year with customers reading more than ever."",
  ""Worldwide paid units accelerated to 12% growth year-over-year as our customers continue to come to Amazon for low prices, broad selection and convenient fast delivery."",
  ""Customers are enjoying even faster delivery speeds, which also helps drive strong growth in items like everyday essentials."",
  ""Though all these items often have a lower average selling price, the strength in everyday essentials revenue is a positive indicator that customers are turning to us for more of their daily needs.""
]",[],"[
  ""Our team continues to focus on the inputs that matter most to customers: really broad selection, low prices, fast and free delivery, and a range of compelling Prime member benefits, including our recent additions of unlimited grocery delivery from Whole Foods Market, Amazon Fresh, and local third-party grocery partners for $9.99 a month and fuel savings of $0.10 a gallon at BP, Amoco, and ampm stations in the US At a time when consumers are being careful about how much they spend, we're continuing to lower prices and ship even more quickly, and we can see this resonating with customers, as our unit growth continues to be strong and outpace even our revenue growth.""
]","[
  ""And we have a lot of customer interest."",
  ""It's good for consumers, it's good for businesses.""
]","[
  ""Customers looking for deals and are price conscious.""
]","[
  ""Customers looking for deals and are price conscious.""
]","[
  ""Over 40 million customers this past quarter have had their orders delivered for free with Same-Day Delivery, an increase of more than 25% year-over-year."",
  ""The early sales for these devices have significantly outperformed our expectations, and Kindle is having an excellent year with customers reading more than ever."",
  ""Worldwide paid units accelerated to 12% growth year-over-year as our customers continue to come to Amazon for low prices, broad selection and convenient fast delivery."",
  ""Customers are enjoying even faster delivery speeds, which also helps drive strong growth in items like everyday essentials."",
  ""Though all these items often have a lower average selling price, the strength in everyday essentials revenue is a positive indicator that customers are turning to us for more of their daily needs."",
  ""We see that when customers purchase these types of items from us, they build bigger baskets, shop more frequently and spend more on Amazon."",
  ""We're encouraged by the start of the holiday season, which kicked off in October with a strong Prime Big Deal Days.""
]","[
  ""And the consumer factors, we've seen a continuation of many of the things we've discussed over the first – or last few quarters."",
  ""And when you do, it results in a stickier consumer relationship, higher orders, building larger baskets, which help our ship economics, and repeat orders are stronger."",
  ""There's – 3P demand is still strong and unit volumes are strong."",
  ""And we have a lot of customer interest."",
  ""But a lot of it is that customers are excited about the price performance that they believe they're going to get in Trainium."",
  ""It's good for consumers, it's good for businesses.""
]","[
  ""Our team continues to focus on the inputs that matter most to customers: really broad selection, low prices, fast and free delivery, and a range of compelling Prime member benefits, including our recent additions of unlimited grocery delivery from Whole Foods Market, Amazon Fresh, and local third-party grocery partners for $9.99 a month and fuel savings of $0.10 a gallon at BP, Amoco, and ampm stations in the US At a time when consumers are being careful about how much they spend, we're continuing to lower prices and ship even more quickly, and we can see this resonating with customers, as our unit growth continues to be strong and outpace even our revenue growth."",
  ""We think customers deserve better.""
]","[
  ""Customers looking for deals and are price conscious."",
  ""When you look at the split between revenue growth and unit growth, you do see some impact to the lower ASP products that we're selling as well as some of the trade down that consumers are doing.""
]"
006XY7-E,3064096,7418905,2024-07-23 00:00:00.000,Q2 2024 Earnings Call,"Tesla, Inc.",[],[],"[
  ""On the auto business front, affordability remains a top-of-mind for customers.""
]",[],[],[],[],[],"[
  ""On the auto business front, affordability remains a top-of-mind for customers.""
]",[]
0VR5Y5-E,3108652,7591579,2024-10-31 00:00:00.000,Q3 2024 Earnings Call,Linde Plc,"[
  ""Conversely, consumer-related end markets are slightly positive versus second quarter with continued growth in food and beverage and stability in healthcare.""
]",[],[],"[
  ""Hey, the consumer sentiment and behavior in the U.S. has been phenomenal.""
]","[
  ""And I'm curious, have you seen any change in customer behavior in response to lower interest rates?Mike, I think as I said in my prepared remarks, you would have heard that I think describing the world, there aren't many bright spots."",
  ""And that's particularly true of places like China, where consumer sentiment obviously is down and a little bit of Europe, as well, where people see that economic weakness and recognize that there isn't a catalyst that's going to change that in the near-term."",
  ""If anything, I think consumer behavior does seem like it's tightening a little bit.""
]","[
  ""You mentioned that big ticket purchases have been a little bit sluggish due to economic uncertainty."",
  ""People across the world are finding that there isn't the propensity to spend and decisions on large spend items just isn't happening as you would normally have expected."",
  ""And that's particularly true of places like China, where consumer sentiment obviously is down and a little bit of Europe, as well, where people see that economic weakness and recognize that there isn't a catalyst that's going to change that in the near-term."",
  ""If anything, I think consumer behavior does seem like it's tightening a little bit.""
]","[
  ""Conversely, consumer-related end markets are slightly positive versus second quarter with continued growth in food and beverage and stability in healthcare.""
]","[
  ""Sure, so the electronics sales, as you point out, Josh, are up 9% year-on-year."",
  ""Hey, the consumer sentiment and behavior in the U.S. has been phenomenal.""
]","[
  ""A combination of geopolitical tension and economic uncertainty has suppressed large ticket purchases, which tend to correlate with industrial markets such as steel, glass, and chemicals.""
]","[
  ""Are you seeing more activity there or interest there, just given the weakness in the economic activity, or are customers looking maybe to get some assets off their balance sheet?"",
  ""You mentioned that big ticket purchases have been a little bit sluggish due to economic uncertainty."",
  ""And I'm curious, have you seen any change in customer behavior in response to lower interest rates?Mike, I think as I said in my prepared remarks, you would have heard that I think describing the world, there aren't many bright spots."",
  ""People across the world are finding that there isn't the propensity to spend and decisions on large spend items just isn't happening as you would normally have expected."",
  ""And that's particularly true of places like China, where consumer sentiment obviously is down and a little bit of Europe, as well, where people see that economic weakness and recognize that there isn't a catalyst that's going to change that in the near-term."",
  ""If anything, I think consumer behavior does seem like it's tightening a little bit.""
]"
000PLZ-E,3063250,7431491,2024-07-30 00:00:00.000,Q2 2024 Earnings Call,"S&P Global, Inc.","[
  ""We are pleased with the profitable growth delivered by the combination of strong customer demand and disciplined execution in the quarter.""
]",[],[],[],[],[],"[
  ""Key contributors to our Vitality Index are unchanged from last quarter as we see strong demand for CARFAX listings and the CARFAX banking and insurance group."",
  ""We are pleased with the profitable growth delivered by the combination of strong customer demand and disciplined execution in the quarter.""
]","[
  ""We've seen a great increase in people coming to the product.""
]",[],[]
000FHS-E,3061633,7418414,2024-07-23 00:00:00.000,Q2 2024 Earnings Call,Danaher Corp.,"[
  ""Many of these customers are also seeing strong momentum for therapeutics in their late-stage pipeline, which is promising for our future growth.""
]","[
  ""In China, bioprocessing demand and underlying activity levels were stable sequentially but remain weak as customers continued to manage liquidity."",
  ""In the meantime, many customers are delaying purchasing decisions as they await funding.""
]","[
  ""In China, bioprocessing demand and underlying activity levels were stable sequentially but remain weak as customers continued to manage liquidity."",
  ""Our emerging biotech customers continue to prioritize projects, particularly for cell and gene therapies, in an effort to manage liquidity."",
  ""In the meantime, many customers are delaying purchasing decisions as they await funding.""
]","[
  ""We're seeing good activity there at some of our larger customers, and that played out here in the second quarter as well with the sequential order growth being high single digits and being positive for both equipment and consumables."",
  ""We saw mid-single digit growth in our non-respiratory businesses with good customer activity around the world."",
  ""And again, important to note here, large customers with on-market drugs continue to grow because that underlying large molecule demand remains at historical growth rates.""
]",[],"[
  ""So as expected, we're starting to see customers delaying their purchasing decision there as they await the stimulus funding.""
]","[
  ""And in Diagnostics, we saw healthy demand globally across our businesses."",
  ""Underlying demand for biologic medicines also remains on track to grow at a high single-digit or better rate again for the full year 2024.""
]","[
  ""We're seeing good activity there at some of our larger customers, and that played out here in the second quarter as well with the sequential order growth being high single digits and being positive for both equipment and consumables."",
  ""And so those larger customers really do have a higher activity level whereas the smaller customers probably remain a little bit more constrained."",
  ""We saw mid-single digit growth in our non-respiratory businesses with good customer activity around the world.""
]","[
  ""In China, bioprocessing demand and underlying activity levels were stable sequentially but remain weak as customers continued to manage liquidity."",
  ""Global pharma and biotech demand remained weak; academic markets were weaker sequentially; and applied markets performed comparatively better, particularly for our advanced solutions which provide critical capabilities needed by our customers."",
  ""In the meantime, many customers are delaying purchasing decisions as they await funding.""
]","[
  ""So as expected, we're starting to see customers delaying their purchasing decision there as they await the stimulus funding.""
]"
000CQ8-E,2932566,7416270,2024-07-22 00:00:00.000,Q2 2024 Earnings Call,"Verizon Communications, Inc.","[
  ""Our overall execution in consumer mobility has been improving quarter after quarter since early last year and our momentum continues."",
  ""Consumer postpaid phone gross adds are up 12% year-over-year which is amazing."",
  ""We're seeing improving postpaid phone net adds in consumer, performing extremely well in business, and taking share in broadband."",
  ""These results were driven by strong operational execution in both consumer and business which led to sequential net add improvements in postpaid phones, fixed wireless access, and prepaid excluding SafeLink."",
  ""Within consumer, postpaid phone gross adds were approximately 1.8 million in the second quarter, a 12% year-over-year increase."",
  ""Excluding our second number offering, consumer postpaid phone gross adds grew 5% year-over-year."",
  ""Consumer postpaid phone net losses were 8,000 for the second quarter, which marks a significant improvement both sequentially and year-over-year."",
  ""Consumer fixed wireless net adds were 218,000, a 15,000 sequential increase as we continue to see healthy demand for reliable broadband even in a seasonally softer quarter."",
  ""The increase was primarily driven by consumer wireless service revenue which grew 3.7% year-over-year to $16.3 billion."",
  ""Consumer postpaid ARPA grew 5% year-over-year, reflecting the benefits of pricing actions and fixed wireless growth.""
]",[],[],"[
  ""Doing strong both on consumer as well as on business, and we are now expanding our C-band to suburban and rural which is another type of opportunity, less penetrated, but also more vastly distributed."",
  ""And as we said in the prepared remarks, we expect to have positive phone net adds in consumer for the year without the contribution from second number, and the results in the quarter reflect the strength of our core business."",
  ""And I think you see the momentum in both gross adds and in net adds in the quarter, and it's very high-quality growth both on the consumer and the business side."",
  ""We also said we have an improving volume profile in consumer, and you see that progress.""
]",[],[],"[
  ""Our overall execution in consumer mobility has been improving quarter after quarter since early last year and our momentum continues."",
  ""Consumer postpaid phone gross adds are up 12% year-over-year which is amazing."",
  ""Total postpaid phone net adds of 148,000 is a big improvement year-over-year and sequentially, and we expect to have positive postpaid phone net adds in consumer for the year."",
  ""In the consumer value market, we're applying the same customer-centric discipline and rigor as we do in the postpaid market, and are seeing significant net add improvements excluding SafeLink."",
  ""We're seeing improving postpaid phone net adds in consumer, performing extremely well in business, and taking share in broadband."",
  ""These results were driven by strong operational execution in both consumer and business which led to sequential net add improvements in postpaid phones, fixed wireless access, and prepaid excluding SafeLink."",
  ""Within consumer, postpaid phone gross adds were approximately 1.8 million in the second quarter, a 12% year-over-year increase."",
  ""Excluding our second number offering, consumer postpaid phone gross adds grew 5% year-over-year."",
  ""For the full year, we expect to deliver positive consumer postpaid phone net adds without the contribution from our second number offering."",
  ""Consumer fixed wireless net adds were 218,000, a 15,000 sequential increase as we continue to see healthy demand for reliable broadband even in a seasonally softer quarter."",
  ""Demand for the service is strengthening as small businesses and enterprises continue to trust the reliability of the product and speed and ease of deployment."",
  ""The increase was primarily driven by consumer wireless service revenue which grew 3.7% year-over-year to $16.3 billion."",
  ""Consumer postpaid ARPA grew 5% year-over-year, reflecting the benefits of pricing actions and fixed wireless growth.""
]","[
  ""Just wanted to follow up on the 2024 consumer postpaid phone expectations to report positive net adds for the year excluding the second line."",
  ""Doing strong both on consumer as well as on business, and we are now expanding our C-band to suburban and rural which is another type of opportunity, less penetrated, but also more vastly distributed."",
  ""I'm excited all what we've done in the consumer side, with the myPlan and all the new innovations we've done with our customers, and we see it resonate with the market."",
  ""And as we said in the prepared remarks, we expect to have positive phone net adds in consumer for the year without the contribution from second number, and the results in the quarter reflect the strength of our core business."",
  ""And I think you see the momentum in both gross adds and in net adds in the quarter, and it's very high-quality growth both on the consumer and the business side."",
  ""We also said we have an improving volume profile in consumer, and you see that progress.""
]",[],[]
000P9L-E,2979117,7478238,2024-08-20 00:00:00.000,Q2 2024 Earnings Call,"Lowe's Companies, Inc.","[
  ""Our resilient smaller to medium Pro customers are responding to the way we've transformed our product and service offerings to meet their needs."",
  ""Shifting gears now to Pro where we continue to gain momentum with our core small to mid-size Pro customer as we delivered mid-single-digit positive Pro comps this quarter.""
]","[
  ""Sales in the first half of the year performed largely in line with our expectations, but as Marvin mentioned, the home improvement backdrop remains challenging, and consumer sentiment remains weak.""
]","[
  ""While we're pleased that we delivered positive comps in Pro and online sales, we continue to manage through softness in DIY demand."",
  ""These efforts helped us respond to the pullback in DIY discretionary projects and unpredictable weather across the country to deliver better-than-expected flow-through while improving the customer experience."",
  ""Despite continuing softness in DIY discretionary demand, we're pleased that we delivered positive online comps and mid-single digit positive Pro comps this quarter."",
  ""We continue to see persistent pressure in bigger-ticket DIY discretionary projects in Flooring and Kitchen & Bath, consistent with the trends that began in the third quarter of 2023, and we continue to lead the industry in Appliances and we are pleased with our overall performance where we delivered above-average comps and double-digit growth in Pro sales."",
  ""Comp sales were pressured by continued softness in DIY bigger-ticket projects, in line with our expectations."",
  ""Sales in the first half of the year performed largely in line with our expectations, but as Marvin mentioned, the home improvement backdrop remains challenging, and consumer sentiment remains weak.""
]",[],"[
  ""Look, I think for us, when we think about our guidance change for the year, it really comes down to just being prudent and being cautious based on the macro environment and the overall customer sentiment, specifically around big-ticket DIY discretionary spend."",
  ""And as we looked into the second half, just as Marvin just said, we still continue to see a very cautious consumer home improvement backdrop that remains challenged."",
  ""And we absolutely, as we sit here today, see pent-up demand in the business, but on the flip side when we look at consumer sentiment, that continues to remain weak."",
  ""But we look at consumer sentiment, existing home sales, housing affordability, those are still concerns.""
]","[
  ""And when you look at big ticket discretionary projects in the second quarter, the DIY demand was softest in those categories and in those projects."",
  ""Look, I think for us, when we think about our guidance change for the year, it really comes down to just being prudent and being cautious based on the macro environment and the overall customer sentiment, specifically around big-ticket DIY discretionary spend."",
  ""We had customers who no longer shopped us because there were brands that they were loyal to that literally had stopped selling to Lowe's."",
  ""And as I said earlier, we believe strongly that the pressure that we're feeling with the discretionary big-ticket DIY is in large part a macro influence issue."",
  ""And as we looked into the second half, just as Marvin just said, we still continue to see a very cautious consumer home improvement backdrop that remains challenged."",
  ""Just as a reminder, we're cycling a pretty big DIY pullback which started in Q3 of last year, again, as it relates to the big-ticket discretionary."",
  ""And then the last thing I'll call out, we did see pressure in big-ticket discretionary seasonal categories like patio and grills, but that was largely expected as we've been managing those seasonal buys down to more recent trends that we've seen."",
  ""And we absolutely, as we sit here today, see pent-up demand in the business, but on the flip side when we look at consumer sentiment, that continues to remain weak."",
  ""But we look at consumer sentiment, existing home sales, housing affordability, those are still concerns.""
]","[
  ""Our resilient smaller to medium Pro customers are responding to the way we've transformed our product and service offerings to meet their needs."",
  ""When it comes to online sales, we delivered growth across all three business areas, driven by continued improvement in conversion rates as customers responded to our compelling offers and to our new expanded same-day delivery options that are now available on multiple platforms."",
  ""And the preference on spending on services, especially for the more affluent consumer, has persisted much longer than expected."",
  ""Home prices continue to appreciate, which is sustaining historically high levels of home equity, disposable personal income is now growing faster than inflation, and the aging housing stock means people will need to make repairs and improvements in their homes.""
]","[
  ""And we're continuing to manage through the DIY challenges and the big-ticket discretionary, but we are still seeing strength, especially in small to medium Pro, and that's reflected."",
  ""And improvement in these macro trends, we should see and drive sustained increase in discretionary projects and DIY traffic.""
]","[
  ""These efforts helped us respond to the pullback in DIY discretionary projects and unpredictable weather across the country to deliver better-than-expected flow-through while improving the customer experience."",
  ""Simply put, people aren't moving nearly as often as they typically do because current mortgage rates are so much higher than their existing rates."",
  ""And the preference on spending on services, especially for the more affluent consumer, has persisted much longer than expected."",
  ""Despite continuing softness in DIY discretionary demand, we're pleased that we delivered positive online comps and mid-single digit positive Pro comps this quarter."",
  ""We continue to see persistent pressure in bigger-ticket DIY discretionary projects in Flooring and Kitchen & Bath, consistent with the trends that began in the third quarter of 2023, and we continue to lead the industry in Appliances and we are pleased with our overall performance where we delivered above-average comps and double-digit growth in Pro sales."",
  ""Sales in the first half of the year performed largely in line with our expectations, but as Marvin mentioned, the home improvement backdrop remains challenging, and consumer sentiment remains weak.""
]","[
  ""But how are you thinking about inventory in the context of maybe a slightly more cautious demand environment in the second half as well as possibly having to manage a higher ocean freight environment?"",
  ""And when you look at big ticket discretionary projects in the second quarter, the DIY demand was softest in those categories and in those projects."",
  ""So, when we look at Q2, even though it was a challenging economic environment, we feel great that we could grow mid-single-digit positive comps in Pro, we could deliver almost 3% growth online, and we're still managing through macro headwinds with DIY discretionary spend."",
  ""Look, I think for us, when we think about our guidance change for the year, it really comes down to just being prudent and being cautious based on the macro environment and the overall customer sentiment, specifically around big-ticket DIY discretionary spend."",
  ""And because of that, the DIY customer is just on the sidelines waiting for some form of an inflection to take place."",
  ""We had customers who no longer shopped us because there were brands that they were loyal to that literally had stopped selling to Lowe's."",
  ""And as I said earlier, we believe strongly that the pressure that we're feeling with the discretionary big-ticket DIY is in large part a macro influence issue."",
  ""And as we looked into the second half, just as Marvin just said, we still continue to see a very cautious consumer home improvement backdrop that remains challenged."",
  ""Just as a reminder, we're cycling a pretty big DIY pullback which started in Q3 of last year, again, as it relates to the big-ticket discretionary."",
  ""And then the last thing I'll call out, we did see pressure in big-ticket discretionary seasonal categories like patio and grills, but that was largely expected as we've been managing those seasonal buys down to more recent trends that we've seen."",
  ""And we absolutely, as we sit here today, see pent-up demand in the business, but on the flip side when we look at consumer sentiment, that continues to remain weak."",
  ""But we look at consumer sentiment, existing home sales, housing affordability, those are still concerns."",
  ""Consumers are still showing a preference for services versus goods, especially in home improvement.""
]"
