sentence1,sentence2,entailment_scores
Net Promoter Scores improved roughly 500 basis points year-over-year and were over 250 basis points above all other Macy's stores.,This text is about a strong consumer or increased consumption.,0.458526045
"But all of these things, the car rental was up, but we still do more than that, and of course the rides business and others.",This text is about a strong consumer or increased consumption.,0.402709723
We feel good about our top of funnel as our awareness in the second quarter hit a record high level for us.,This text is about a strong consumer or increased consumption.,0.590620339
"Our C-store business has been very, very strong year to date and it's been one of the highlights.",This text is about a strong consumer or increased consumption.,0.466352791
"We drove another quarter of double-digit growth in our e-commerce business, which was up 17% this quarter with traffic, units for transaction and AURs all increasing as we work to improve the levi.com experience and broaden its assortment.",This text is about a strong consumer or increased consumption.,0.576337576
We believe our rollout of mobile order is contributing to this growth.,This text is about a strong consumer or increased consumption.,0.378284454
"Having said that, I think it is important to realize that our brands are strong and that they drive significant traffic for retailers.",This text is about a strong consumer or increased consumption.,0.468231916
"And I am happy to report, actually, we've sold through better part of 40%, 50% of that inventory already.",This text is about a strong consumer or increased consumption.,0.43056047
"We also continue to evaluate consumer behavior to ensure our offerings remain well aligned with consumer interest, so that we can continue to capture a greater share of the growing market.",This text is about a strong consumer or increased consumption.,0.480531007
Our surveys continue to show strong boating participation levels supportive of steady P&A demand.,This text is about a strong consumer or increased consumption.,0.368268102
"As we've seen traditional European luxury soften in China, our relevancy, we're giving that consumer an incredible value with a very fashionable product.",This text is about a strong consumer or increased consumption.,0.376550704
We singlehandedly built the women's lifestyle categories for these brands and grew these businesses to a combined $1.5 billion at their peak.,This text is about a strong consumer or increased consumption.,0.426270843
But what I think we've really seen is that the demand is still there.,This text is about a strong consumer or increased consumption.,0.402568489
"On the other side, we are – there's more traffic and more frequency on the higher income consumer, we are again maintaining share with that income cohort.",This text is about a strong consumer or increased consumption.,0.623705328
"In your prepared remarks, or even in the press release, I think you mentioned that you're at a record booked position over the next 12 months.",This text is about a strong consumer or increased consumption.,0.300078213
"Our NPS scores remain at 70 or above, among the highest in the industry, and our One ODP approach to our education customers through Education 365 is improving our position moving forward.",This text is about a strong consumer or increased consumption.,0.444707274
The first must-win is to provide a superior customer experience with the goal to yield net organic growth and units or gallons consumed across our water portfolio.,This text is about a strong consumer or increased consumption.,0.447474003
"In addition to remarkable brand messaging, we're also focused on delivering a superior product to our consumers.",This text is about a strong consumer or increased consumption.,0.32347402
"Revenue for the brand improved sequentially to negative 3% in Q2, compared to negative 9% in Q1, while Yellow Boot continues to perform well globally, with ongoing momentum enhanced by the new iconic campaign launched in September, which is driving traffic to our stores and online and also contributing to the growth of the boot.",This text is about a strong consumer or increased consumption.,0.364901483
Our turnaround in toys is well underway.,This text is about a strong consumer or increased consumption.,0.53882283
"To support our growing D2C business, we're refining our brick-and-mortar strategy, leveraging best practices from our Asian market while continuing to invest in our digital platforms.",This text is about a strong consumer or increased consumption.,0.447274029
"But those who come like what they see, conversion and the average transaction are higher than last year.",This text is about a strong consumer or increased consumption.,0.36800167
"Not our original intention, but it's great that they have them, and they're actually doing well.",This text is about a strong consumer or increased consumption.,0.600731552
"We see those figures increasing significantly over the next couple of years as our partners bring our brands to life through thrilling experiences and attractions and billions of dollars of third-party capital investments with quality executions like Hasbro City in Mexico, which was just awarded the Best Family Entertainment Centre in the World by the International Association of Amusement Parks and Attractions.",This text is about a strong consumer or increased consumption.,0.570066094
"Let me start by saying, every time we come up with a target for Olive Garden, we blew past it.",This text is about a strong consumer or increased consumption.,0.477147251
Revenue and subscriber growth continued to outperform our expectations.,This text is about a strong consumer or increased consumption.,0.437390089
We're excited to deliver a robust pipeline of newness to our fans as we enter the holiday season and into 2025.,This text is about a strong consumer or increased consumption.,0.692767382
I happen to love those buyers because that's a sophisticated buyer.,This text is about a strong consumer or increased consumption.,0.673872709
"We achieved our highest ever quarterly revenue, our first quarter of profitability in financing operations, and laid the foundation for continued growth in our ecosystem as we serve customers wherever, whenever and however they desire.",This text is about a strong consumer or increased consumption.,0.661312401
"With an embedded revenue potential of over $19 billion over the next decade, our work to drive a higher new owner base gives us continued confidence in our long-term model.",This text is about a strong consumer or increased consumption.,0.660275936
"We're actually seeing increases in Europe on relevance, preference, and even head-to-toe denim.",This text is about a strong consumer or increased consumption.,0.697510302
"Slide number 12 shows how we continue to well outpace the median growth of our peer group, including our more directly comparable snacking in international peers.",This text is about a strong consumer or increased consumption.,0.661954284
"In International and Away From Home, strong comparable net sales growth was primarily due to a double-digit increase in the Away From Home business, driven by Uncrustables sandwiches, portion control and coffee.",This text is about a strong consumer or increased consumption.,0.647007465
"In HPC, our appliance segment, we had a much healthier start to the year, including a solid holiday selling season, with all international regions delivering core sales growth.",This text is about a strong consumer or increased consumption.,0.324972391
"Compelling content combined with successful promotional strategies, drove strong new member acquisition and reactivation while increasing shopping frequency and retention.",This text is about a strong consumer or increased consumption.,0.656492233
"By giving customers a second chance to win in the app, the market continued to amplify the digital experience while maintaining those core qualities of the game that our customers love.",This text is about a strong consumer or increased consumption.,0.532008827
They have a better dining experience with us.,This text is about a strong consumer or increased consumption.,0.355086744
"At our new Woodlands, Texas location, we experienced our largest grand opening weekend to-date.",This text is about a strong consumer or increased consumption.,0.446000338
 for your support and we look forward to connecting with many of you in the coming months.,This text is about a strong consumer or increased consumption.,0.639035463
"As I've discussed on prior calls, our largest opportunity and our first long-term growth pillar is to accelerate brand awareness and penetration in the United States.",This text is about a strong consumer or increased consumption.,0.684236228
"Mark, you talked about shifting the Uncrustables brand into a demand-driven growth environment versus supply constraint.",This text is about a strong consumer or increased consumption.,0.489163607
"In Q4, loyalty sales grew high single digits.",This text is about a strong consumer or increased consumption.,0.642393589
"And the more we have a touch point with the customer, wherever, we created lifetime connection with this fan.",This text is about a strong consumer or increased consumption.,0.489296526
Both hotel and food and beverage continued to grow year-over-year and deliver record revenue and profitability in the fourth quarter.,This text is about a strong consumer or increased consumption.,0.548064411
Their dedication and hard work are the driving forces behind our mission to Feed the World Like Family and bring high-quality food to every table in the world.,This text is about a strong consumer or increased consumption.,0.503538489
We believe the best way to drive revenue and traffic in a sustainable fashion is to give our guests the outstanding experience we're known for and they have come to expect.,This text is about a strong consumer or increased consumption.,0.665734112
"That's going to continue to build on itself over the quarter and as we really get into 2025, as we push harder on marketing.",This text is about a strong consumer or increased consumption.,0.329445899
"The movie continue to play very well, was a cultural phenomenon, it lifted the brand.",This text is about a strong consumer or increased consumption.,0.516620159
We want you to succeed.,This text is about a strong consumer or increased consumption.,0.410847694
"Asia retail comps were up 6%, with strong growth in both digital and brick-and-mortar stores.",This text is about a strong consumer or increased consumption.,0.479373723
"And again, seeing both growth – both in the performance side, as well as the lifestyle piece.",This text is about a strong consumer or increased consumption.,0.618757069
"On the direct-to-consumer side, we are catching up on the compounding effects of the subscription business.",This text is about a strong consumer or increased consumption.,0.671889961
"It's clear, the energy created by winning with our customers and driving industry-leading performance is infectious, and all of our leaders are passionate about taking the next step forward in seizing the opportunities in front of us.",This text is about a strong consumer or increased consumption.,0.31815064
"Additionally, our initiatives to drive revenue growth in each of our onboard health-and-wellness centers through enhanced guest engagement and experiences, service and product offering innovations, and the disciplined execution of our complex operating protocols by our onboard and corporate teams.",This text is about a strong consumer or increased consumption.,0.483213574
 so much and congratulations.,This text is about a strong consumer or increased consumption.,0.432277888
"There's a saying – we have one of our sales rockstars internally called Courtney Steffensen, and she has a saying internally that says package buyers buy, and it's just a very large segment of our customer base where when they come in, they want the best.",This text is about a strong consumer or increased consumption.,0.41523996
Steps are being taken to amplify the impact of this spending.,This text is about a strong consumer or increased consumption.,0.458394051
"We think that customer is looking for great value, and maybe for the first time since 2021, it looks like their real incomes are finally edging up.",This text is about a strong consumer or increased consumption.,0.679592371
"The whole 4 points of volume/mix in Europe are attributable to the consumer – or the customer disruption, sorry.",This text is about a strong consumer or increased consumption.,0.558784842
"At Marmaxx, also note that we saw comp increases in both our apparel and home categories.",This text is about a strong consumer or increased consumption.,0.319781542
"Total Q1 comp sales were down 3.4%, which reflected our very strong performance in sandals, combined with growth in athletics.",This text is about a strong consumer or increased consumption.,0.471028298
Costa is driving loyalty through targeted promotions like Treat-Drop and innocent gained value share in Europe.,This text is about a strong consumer or increased consumption.,0.311965406
"In Asia, overall restaurant traffic grew in both China and Japan.",This text is about a strong consumer or increased consumption.,0.511656165
And – however I will say that we're seeing some very strong reaction from both segments on really these highly demanded items.,This text is about a strong consumer or increased consumption.,0.538997471
"Can you give us maybe some update or more color, rather, on the uplift you're seeing with some of the product refreshes in the Gaming market specifically, maybe Vantage with William Hill?",This text is about a strong consumer or increased consumption.,0.325307816
"Whether we're delighting our repeat customers, re-engaging a lapsed customer or reaching a competitive user, we are focused on targeting demand generation across our owned communication channels as well as paid digital media.",This text is about a strong consumer or increased consumption.,0.445649117
"Revenue during the quarter was $146.8 million, an increase of 11.3% when compared with the prior year, driven primarily by enrollment growth.",This text is about a strong consumer or increased consumption.,0.479205102
"With our partners at Nike, we continue to revitalize the Max Air (sic) [Air Max] (00:23:03) business through their innovative platform, Dynamic Air.",This text is about a strong consumer or increased consumption.,0.380276024
"We continue to advance our product development capabilities that are driving increased penetration in this large and growing category, as well as expanded distribution opportunities within sporting goods retailers.",This text is about a strong consumer or increased consumption.,0.579259634
We continue to have good success with value-add product.,This text is about a strong consumer or increased consumption.,0.395753682
We are a top destination for consumers seeking branded merchandise at amazing value.,This text is about a strong consumer or increased consumption.,0.34562245
"During the year, Varsity Tutors for Schools contracted with nearly 200 school districts delivering $37.6 million of bookings, an increase of $12.8 million or 52% compared to the previous year.",This text is about a strong consumer or increased consumption.,0.669588625
"Turning to our growth strategy in 2024 and beyond, our priority remains to extend brand reach and engagement, drive product diversification across our portfolio, leverage our powerful omni-channel to reach customers and build our global business.",This text is about a strong consumer or increased consumption.,0.528524399
