Matched Sentences,NLI Topic,label
My colleague Mr. Satakarni will provide more insights on the entire biosimilar and other complex generic portfolio on this.,This text is about a weak consumer or reduced consumption.,
We saw a 7.6% increase in novated orders compared to FY 2023.,This text is about a strong consumer or increased consumption.,
"In recent years, we've reorganized our range architecture, removing duplications and improving the balance between new kitchen introductions and timely discontinuations.",This text is about a strong consumer or increased consumption.,
"And historically, since the merger of 2012 with Inoxum, we have had a deficit – we were cold rolling short, so to speak.",This text is about a weak consumer or reduced consumption.,
This is a result of the widening differentials from all three of our benchmarks: Vasconia; Castilla and Oriente.,This text is about a strong consumer or increased consumption.,
"In the chart on the bottom left of this slide 11, you can see the movements in our anticipated MI relative to our August disclosure.",This text is about a weak consumer or reduced consumption.,
You really can't beat the COM patent.,This text is about a strong consumer or increased consumption.,
"Following our remarks today, we will hold a question-and-answer session for analysts and investors.",This text is about a weak consumer or reduced consumption.,
You've heard me say this before but it's really worth reiterating that we solve for the originations performance outcome and we flex up or we slow down based on our AI signals which allow us to grow and abstract away from the macro environment.,This text is about a weak consumer or reduced consumption.,
"Merchandise comp sales, which exclude gas sales, increased by 0.5% year-over-year and by over 9% on a two-year stack.",This text is about a strong consumer or increased consumption.,
"As we continue to navigate through 2024, Moving now to page 6.",This text is about a weak consumer or reduced consumption.,
2023 marked the third consecutive year that our book-to-bill ratio was greater than 1 time.,This text is about a weak consumer or reduced consumption.,
The manufacturing end market was up 1%.,This text is about a strong consumer or increased consumption.,
"So then my last slide is just a quick outlook on the next one, which is this site to rewind, which doesn't happen very often.",This text is about a strong consumer or increased consumption.,
"We also believe that further significant value creation will crystallize beyond 2026 as we move out of the integration phase, and our operating efficiency and customer experience is continually enhanced by these digital platforms.",This text is about a strong consumer or increased consumption.,
"As I said on my first Workday  one year ago, we have the opportunity to be one of the largest, most enduring and profitable software businesses of our time.",This text is about a strong consumer or increased consumption.,
"As I mentioned, on March 1, FCR completed the issuance of its Series B unsecured debentures.",This text is about a weak consumer or reduced consumption.,
"Over here, we see outcomes in a short run.",This text is about a strong consumer or increased consumption.,
"Meantime, private real estate prices continue to adjust lower, primarily in response to the increase in the cost of debt capital.",This text is about a weak consumer or reduced consumption.,
"In 2025, we expect to start engineering designs for early development and production of gas for the domestic market between 2029 and 2030.",This text is about a strong consumer or increased consumption.,
"Looking ahead, as just highlighted by John and Rich, we expect the onset of new revenue from our caps and closures initiative to begin in Q1 of 2025.",This text is about a weak consumer or reduced consumption.,
"And at the level that we are at, at above 40%, that again is something that is very strong performance by the Farm team.",This text is about a weak consumer or reduced consumption.,
Adjusted net income for the full year increased 5% to $144 million and adjusted EPS increased 4% to $2.33 per share as growth in adjusted EBITDA was partially offset by an increase in depreciation and amortization expense as well as a $24 million increase in interest expense.,This text is about a strong consumer or increased consumption.,
"On slide 4, our upfront policy and data analytics work informs Willdan's strategy.",This text is about a strong consumer or increased consumption.,
None of the NPAs are multifamily assets.,This text is about a strong consumer or increased consumption.,
"We expect segment net sales growth to improve further in quarter four, reflecting a healthy partnership contribution and base business trend.",This text is about a strong consumer or increased consumption.,
"First, a brief update on the industry.",This text is about a strong consumer or increased consumption.,
"Our current intention is to forward sell both buildings, such as the purchaser funds, the construction costs.",This text is about a weak consumer or reduced consumption.,
And that also is accompanied by an increase of 32% of new prescribers for DiviTum.,This text is about a strong consumer or increased consumption.,
We are operating multiple ESG-related work streams across the company and progress according to our goals and expectations.,This text is about a weak consumer or reduced consumption.,
"And then, you'll see the taxation.",This text is about a weak consumer or reduced consumption.,
We believe we are uniquely positioned to leverage our position as the application and network layer to create significant value through time and cost savings that we deliver from the underlying technology through a world-class UI to our customers.,This text is about a strong consumer or increased consumption.,
As slide 9 shows we are well-positioned with a diversified loan portfolio without outsized concentration in CRE and only 3.8% in non-owner occupied office.,This text is about a strong consumer or increased consumption.,
"After restructuring last year, we've seen improvements in stock-based compensation dilution and remain on track to our commitment for 2024 stock-based compensation of approximately $340 million.",This text is about a weak consumer or reduced consumption.,
"Speaking of Mobility, I'd like to highlight the seasonality of our business in FY 2025 will reflect the impact of the divestiture.",This text is about a strong consumer or increased consumption.,
"We're committing to building solutions that offer both full brand protection and strong ROI, enabling advertisers to leverage the unique strengths of news environments confidently and effectively.",This text is about a strong consumer or increased consumption.,
"And our growth in imaging volumes exceeded 21,000 for the first time.",This text is about a weak consumer or reduced consumption.,
"We're currently out for consultation with our major shareholders on a three-year management incentive plan, which is designed to directly align interests with a focus entirely on shareholder return, both relative and absolute.",This text is about a weak consumer or reduced consumption.,
"Hurricane Milton was the most powerful storm to hit Tampa Bay in the last 100 years, and the restoration effort by the team was the largest in Tampa Electric's history.",This text is about a weak consumer or reduced consumption.,
The e-commerce business grew by 17.6% during the year; achieving an overall growth rate.,This text is about a weak consumer or reduced consumption.,
"As customers continue to shift investment from traditional to accelerated infrastructure, we expect data center to drive the majority of our revenue growth going forward.",This text is about a weak consumer or reduced consumption.,
